#Scan:    100            N1530 2021-09-20 +07 35 52.0
#          RADIO                  Ta    
#        km/s-BAR                 I
    2565.1412197977251708      0.3549024
    2568.1602941306459797      0.3715380
    2571.1793684635999853      0.3848706
    2574.1984427964871429      0.3992403
    2577.2175171294411484      0.4054675
    2580.2365914623615026      0.3883255
    2583.2556657953155081      0.3469577
    2586.2747401282363171      0.2997560
    2589.2938144611903226      0.2800606
    2592.3128887940774803      0.2361553
    2595.3319631270314858      0.1857290
    2598.3510374599518400      0.1549845
    2601.3701117929058455      0.1263607
    2604.3891861258266545      0.1056235
    2607.4082604587806600      0.0957378
    2610.4273347917010142      0.0693075
    2613.4464091246218231      0.0585402
    2616.4654834575421773      0.0587001
    2619.4845577904957281      0.0497467
    2622.5036321234165371      0.0537758
    2625.5227064563705426      0.0482967
    2628.5417807892908968      0.0523863
    2631.5608551221785092      0.0516168
    2634.5799294551320600      0.0444766
    2637.5990037880860655      0.0391604
    2640.6180781210068744      0.0586998
    2643.6371524539608799      0.0501242
    2646.6562267868812341      0.0431771
    2649.6753011198352397      0.0336250
    2652.6943754527223973      0.0393699
    2655.7134497856432063      0.0308209
    2658.7325241185972118      0.0314903
    2661.7515984515512173      0.0485479
    2664.7706727844715715      0.0504114
    2667.7897471174251223      0.0415996
    2670.8088214503459312      0.0489784
    2673.8278957832335436      0.0244206
    2676.8469701161875491      0.0185922
    2679.8660444491410999      0.0222068
    2682.8851187820614541      0.0458016
    2685.9041931150154596      0.0465068
    2688.9232674479362686      0.0416288
    2691.9423417808238810      0.0482295
    2694.9614161137774317      0.0283126
    2697.9804904466977860      0.0345900
    2700.9995647796517915      0.0311266
    2704.0186391126057970      0.0281925
    2707.0377134455266059      0.0356815
    2710.0567877784806115      0.0272398
    2713.0758621113677691      0.0405485
    2716.0949364442885781      0.0270862
    2719.1140107772425836      0.0320594
    2722.1330851101629378      0.0342360
    2725.1521594431169433      0.0412498
    2728.1712337760704941      0.0342268
    2731.1903081089581065      0.0243493
    2734.2093824418789154      0.0361751
    2737.2284567748324662      0.0512109
    2740.2475311077532751      0.0378562
    2743.2666054407068259      0.0257491
    2746.2856797736608314      0.0363781
    2749.3047541065816404      0.0416392
    2752.3238284394687980      0.0332445
    2755.3429027724228035      0.0298864
    2758.3619771053431577      0.0438351
    2761.3810514382971633      0.0394969
    2764.4001257712179722      0.0325177
    2767.4192001041719777      0.0326414
    2770.4382744371259832      0.0398252
    2773.4573487700131409      0.0397481
    2776.4764231029334951      0.0543037
    2779.4954974358875006      0.0385498
    2782.5145717688083096      0.0324790
    2785.5336461017618603      0.0387975
    2788.5527204346826693      0.0381441
    2791.5717947676034782      0.0318221
    2794.5908691005238325      0.0247360
    2797.6099434334773832      0.0334989
    2800.6290177663981922      0.0457354
    2803.6480920993521977      0.0392375
    2806.6671664322725519      0.0282414
    2809.6862407652265574      0.0356941
    2812.7053150981137151      0.0380673
    2815.7243894310677206      0.0365832
    2818.7434637639885295      0.0409835
    2821.7625380969425350      0.0421897
    2824.7816124298628893      0.0492566
    2827.8006867628168948      0.0372172
    2830.8197610957040524      0.0490895
    2833.8388354286580579      0.0480631
    2836.8579097615788669      0.0336659
    2839.8769840945328724      0.0408665
    2842.8960584274532266      0.0426981
    2845.9151327604067774      0.0330226
    2848.9342070933275863      0.0291548
    2851.9532814262151987      0.0450253
    2854.9723557591687495      0.0494235
    2857.9914300921227550      0.0402634
    2861.0105044250431092      0.0379967
    2864.0295787579971147      0.0273148
    2867.0486530909179237      0.0332632
    2870.0677274238719292      0.0282596
    2873.0868017567590869      0.0465427
    2876.1058760896794411      0.0410366
    2879.1249504226334466      0.0188015
    2882.1440247555874521      0.0306652
    2885.1630990885082610      0.0337932
    2888.1821734214622666      0.0437042
    2891.2012477543494242      0.0469026
    2894.2203220872697784      0.0389124
    2897.2393964202237839      0.0426895
    2900.2584707531773347      0.0344813
    2903.2775450860981437      0.0411793
    2906.2966194190521492      0.0346047
    2909.3156937519725034      0.0421259
    2912.3347680848601158      0.0443254
    2915.3538424178136665      0.0335234
    2918.3729167507344755      0.0412160
    2921.3919910836884810      0.0500625
    2924.4110654166424865      0.0269553
    2927.4301397495628407      0.0375970
    2930.4492140824499984      0.0311857
    2933.4682884154040039      0.0341763
    2936.4873627483248129      0.0243524
    2939.5064370812788184      0.0319059
    2942.5255114141991726      0.0319053
    2945.5445857471531781      0.0236621
    2948.5636600801067289      0.0360285
    2951.5827344129943413      0.0537357
    2954.6018087459151502      0.0345439
    2957.6208830788691557      0.0264070
    2960.6399574117899647      0.0154016
    2963.6590317447430607      0.0216979
    2966.6781060776970662      0.0364339
    2969.6971804106178752      0.0440351
    2972.7162547435054876      0.0368921
    2975.7353290764590383      0.0378042
    2978.7544034093798473      0.0375189
    2981.7734777423338528      0.0297307
    2984.7925520752542070      0.0287302
    2987.8116264082082125      0.0404764
    2990.8307007410953702      0.0496945
    2993.8497750740493757      0.0339561
    2996.8688494069701846      0.0366116
    2999.8879237399241902      0.0283827
    3002.9069980728445444      0.0339358
    3005.9260724057985499      0.0310006
    3008.9451467387521006      0.0233996
    3011.9642210716397130      0.0496894
    3014.9832954045605220      0.0501610
    3018.0023697375140728      0.0359277
    3021.0214440704348817      0.0435668
    3024.0405184033884325      0.0375011
    3027.0595927363092414      0.0334616
    3030.0786670691968538      0.0333112
    3033.0977414021504046      0.0329913
    3036.1168157351044101      0.0388742
    3039.1358900680247643      0.0404944
    3042.1549644009787698      0.0296303
    3045.1740387338995788      0.0319094
    3048.1931130668535843      0.0250869
    3051.2121873997407420      0.0302549
    3054.2312617326947475      0.0375334
    3057.2503360656151017      0.0361503
    3060.2694103985691072      0.0336153
    3063.2884847314899162      0.0390933
    3066.3075590644434669      0.0355390
    3069.3266333973642759      0.0426947
    3072.3457077302514335      0.0266010
    3075.3647820632054390      0.0239529
    3078.3838563961589898      0.0339270
    3081.4029307290797988      0.0205278
    3084.4220050620338043      0.0371475
    3087.4410793949541585      0.0381574
    3090.4601537278417709      0.0278531
    3093.4792280607953217      0.0269073
    3096.4983023937161306      0.0467444
    3099.5173767266701361      0.0248803
    3102.5364510596241416      0.0182682
    3105.5555253925444958      0.0481317
    3108.5745997254985014      0.0393604
    3111.5936740583856590      0.0297694
    3114.6127483913064680      0.0262385
    3117.6318227242604735      0.0377908
    3120.6508970572144790      0.0388340
    3123.6699713901348332      0.0305045
    3126.6890457230883840      0.0433152
    3129.7081200559759964      0.0283099
    3132.7271943888968053      0.0191378
    3135.7462687218508108      0.0263634
    3138.7653430547711650      0.0453724
    3141.7844173877247158      0.0237028
    3144.8034917206787213      0.0293526
    3147.8225660535995303      0.0273392
    3150.8416403864866879      0.0324371
    3153.8607147194406934      0.0293204
    3156.8797890523610477      0.0208109
    3159.8988633853150532      0.0304405
    3162.9179377182690587      0.0354710
    3165.9370120511898676      0.0361128
    3168.9560863841438731      0.0262247
    3171.9751607170310308      0.0395184
    3174.9942350499513850      0.0436141
    3178.0133093829053905      0.0228631
    3181.0323837158261995      0.0278437
    3184.0514580487802050      0.0311470
    3187.0705323817337558      0.0326694
    3190.0896067146213682      0.0368955
    3193.1086810475417224      0.0243150
    3196.1277553804952731      0.0229921
    3199.1468297134160821      0.0176132
    3202.1659040463700876      0.0314779
    3205.1849783792904418      0.0247468
    3208.2040527122444473      0.0308327
    3211.2231270451320597      0.0367612
    3214.2422013780856105      0.0182729
    3217.2612757110064194      0.0309652
    3220.2803500439604250      0.0206526
    3223.2994243768812339      0.0197710
    3226.3184987098352394      0.0286027
    3229.3375730427223971      0.0391628
    3232.3566473756764026      0.0309691
    3235.3757217085967568      0.0329708
    3238.3947960415507623      0.0409206
